亜,ア アシア,つぐ,Asia; rank next; come after; -ous
潟,セキ,かた,lagoon
喝,カツ,,hoarse; scold
括,カツ,くくる,fasten; tie up; arrest; constrict
渇,カツ,かわく,thirst; dry up; parch
滑,カツ コツ,すべる なめらか,slippery; slide; slip; flunk
褐,カツ,,brown; woollen kimono
轄,カツ,くさび,control; wedge
且,ショ ソ ショウ,かつ,moreover; also; furthermore
株,シュ,かぶ,stocks; stump; shares; stock; counter for small plants
鎌,レン ケン,かま,sickle; scythe; trick
刈,ガイ カイ,かる,reap; cut; clip; trim; prune
冠,カン,かんむり,crown; best; peerless
勘,カン,,intuition; perception
勧,カン ケン,すすめる,persuade; recommend; advise; encourage; offer
喚,カン,わめく,yell; cry; scream
堪,カン タン,たえる たまる こらえる こたえる,withstand; endure; support; resist
寛,カン,くつろぐ ひろい ゆるやか,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded
幹,カン,みき,tree-trunk
憾,カン,うらむ,remorse; regret; be sorry
敢,カン,あえて あえない あえず,daring; sad; tragic; pitiful; frail; feeble
棺,カン,,coffin; casket
款,カン,,goodwill; article; section; friendship; collusion
歓,カン,よろこぶ,delight; joy
環,カン,わ,ring; circle; link; wheel
監,カン,,oversee; official; govt office; rule; administer
看,カン,みる,watch over; see
緩,カン,ゆるい ゆるやか ゆるむ ゆるめる,slacken; loosen; relax; lessen; be moderate; ease
肝,カン,きも,liver; pluck; nerve; chutzpah
艦,カン,,warship
貫,カン,つらぬく ぬく ぬき,pierce; 8 1/3lbs; penetrate; brace
還,カン,かえる,send back; return
鑑,カン,かんがみる かがみ,specimen; take warning from; learn from
閑,カン,,leisure
陥,カン,おちいる おとしいれる,collapse; fall into; cave in; fall (castle); slide into
韓,カン,から いげた,Korea
巌,ガン,いわ いわお けわしい,rock; crag; boulder
眼,ガン ゲン,まなこ め,eyeball
頑,ガン,かたく,stubborn; foolish; firmly
企,キ,くわだてる,undertake; scheme; design; attempt; plan
器,キ,うつわ,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set
基,キ,もと もとい,fundamentals; radical (chem); counter for machines; foundation
奇,キ,くしき あやしい くし めずらしい,strange; strangeness; curiousity
嬉,キ,うれしい たのしむ,glad; pleased; rejoice
岐,キ ギ,,branch off; fork in road; scene; arena; theater
忌,キ,いむ いみ いまわしい,mourning; abhor; detestable; death anniversary
揮,キ,ふるう,brandish; wave; wag; swing; shake
旗,キ,はた,national flag; banner; standard
既,キ,すでに,previously; already; long ago
棋,キ,ご,chess piece; Japanese chess; shogi
棄,キ,すてる,abandon; throw away; discard; resign; reject; sacrifice
毅,キ ギ,つよい,strong
汽,キ,,vapor; steam
紀,キ,,chronicle; account; narrative; history; annals; geologic period
貴,キ,たっとい とうとい たっとぶ とうとぶ,precious; value; prize; esteem; honor
軌,キ,,rut; wheel; track; model; way of doing
輝,キ,かがやく,radiance; shine; sparkle; gleam; twinkle
飢,キ,うえる,hungry; starve
騎,キ,,equestrian; riding on horses; counter for equestrians
鬼,キ,おに おに-,ghost; devil
亀,キ キュウ キン,かめ,tortoise; turtle
偽,ギ カ,いつわる にせ いつわり,falsehood; lie; deceive; pretend; counterfeit; forgery
儀,ギ,,ceremony; rule; affair; case; a matter
宜,ギ,よろしい よろしく,best regards; good
戯,ギ ゲ,たわむれる ざれる じゃれる,frolic; play; sport
擬,ギ,まがい もどき,mimic; aim (a gun) at; nominate; imitate
欺,ギ,あざむく,deceit; cheat; delude
犠,ギ キ,いけにえ,sacrifice
義,ギ,,righteousness; justice; morality; honor; loyalty; meaning
菊,キク,,chrysanthemum
吉,キチ キツ,よし,good luck; joy; congratulations
橘,キツ,たちばな,mandarin orange
却,キャク,かえって しりぞく しりぞける,instead; on the contrary; rather
脚,キャク キャ カク,あし,skids; leg; undercarriage
虐,ギャク,しいたげる,tyrannize; oppress
丘,キュウ,おか,hill; knoll
及,キュウ,およぶ および および およぼす,reach out; exert; exercise; cause
宮,キュウ グウ ク クウ,みや,Shinto shrine; constellations; palace; princess
弓,キュウ,ゆみ,bow; bow (archery violin)
救,キュウ,すくう,salvation; save; help; rescue; reclaim
朽,キュウ,くちる,decay; rot; remain in seclusion
