知,チ,しる しらせる,know; wisdom
地,チ ジ,,ground; earth
茶,チャ サ,,tea
着,チャク ジャク,きる きせる つく つける,don; arrive; wear; counter for suits of clothing
昼,チュウ,ひる,daytime; noon
注,チュウ,そそぐ さす つぐ,pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate
朝,チョウ,あさ,morning; dynasty; regime; epoch; period; (North) Korea
町,チョウ,まち,village; town; block; street
鳥,チョウ,とり,bird; chicken
通,ツウ ツ,とおる とおり とおす とおし かよう,traffic; pass through; avenue; commute; counter for letters
弟,テイ ダイ デ,おとうと,younger brother; faitherful service to elders
店,テン,みせ たな,store; shop
転,テン,ころがる ころげる ころがす ころぶ まろぶ うたた うつる,revolve; turn around; change
田,デン,た,rice field; rice paddy
度,ド ト タク,たび,degrees; occurrence; time; counter for occurrences
冬,トウ,ふゆ,winter
答,トウ,こたえる こたえ,solution; answer
動,ドウ,うごく うごかす,move; motion; change; confusion; shift; shake
同,ドウ,おなじ,same; agree; equal
堂,ドウ,,public chamber; hall
道,ドウ トウ,みち,road-way; street; district; journey; course; moral; teachings
特,トク,,special
肉,ニク,,meat
買,バイ,かう,buy
売,バイ,うる うれる,sell
発,ハツ ホツ,たつ あばく おこる つかわす はなつ,discharge; departure; publish; emit; start from; disclose
飯,ハン,めし,meal; boiled rice
病,ビョウ ヘイ,やむ やまい,ill; sick
品,ヒン ホン,しな,goods; refinement; dignity; article; counter for meal courses
不,フ ブ,,negative; non-; bad; ugly; clumsy
風,フウ フ,かぜ かざ-,wind; air; style; manner
服,フク,,clothing; admit; obey; discharge
物,ブツ モツ,もの もの-,thing; object; matter
文,ブン モン,ふみ あや,sentence; literature; style; art; decoration; figures; plan
別,ベツ,わかれる わける,separate; branch off; diverge; fork; another; extra; specially
勉,ベン,つとめる,exertion
歩,ホ ブ フ,あるく あゆむ,walk; counter for steps
方,ホウ,かた,direction; person; alternative
妹,マイ,いもうと,younger sister
味,ミ,あじ あじわう,flavor; taste
明,メイ ミョウ ミン,あかり あかるい あかるむ あからむ あきらか あける あく あくる あかす,bright; light
目,モク ボク,め ま-,eye; class; look; insight; experience; care; favor
問,モン,とう とい とん,question; ask; problem
夜,ヤ,よ よる,night; evening
野,ヤ ショ,の の-,plains; field; rustic; civilian life
有,ユウ ウ,ある,possess; have; exist; happen; occur; approx
夕,セキ,ゆう,evening
曜,ヨウ,,weekday
洋,ヨウ,,ocean; western style
用,ヨウ,もちいる,utilize; business; service; use; employ
理,リ,ことわり,logic; arrangement; reason; justice; truth
立,リツ リュウ リットル,たつ たち- たてる たて- たて-,stand up
旅,リョ,たび,trip; travel
料,リョウ,,fee; materials
力,リョク リキ リイ,ちから,power; strong; strain; bear up; exert
