愛,アイ,いとしい,love; affection; favourite
滴,テキ,しずく したたる,drip; drop
的,テキ,まと,bulls eye; mark; target; object; adjective ending
適,テキ,かなう,suitable; occasional; rare; qualified; capable
鉄,テツ,くろがね,iron
点,テン,つける つく たてる さす とぼす ともす ぼち,spot; point; mark; speck; decimal point
伝,デン テン,つたわる つたえる つたう つだう つて,transmit; go along; walk along; follow; report; communicate; legend; tradition
殿,デン テン,との,Mr.; hall; mansion; palace; temple; lord
塗,ト,ぬる ぬり まみれる,paint; plaster; daub; smear; coating
徒,ト,いたずら あだ,junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people
渡,ト,わたる わたす,transit; ford; ferry; cross; import; deliver; diameter; migrate
登,トウ ト ドウ ショウ チョウ,のぼる あがる,ascend; climb up
途,ト,,route; way; road
都,ト ツ,みやこ,metropolis; capital
努,ド,つとめる,toil; diligent; as much as possible
怒,ド ヌ,いかる おこる,angry; be offended
倒,トウ,たおれる たおす,overthrow; fall; collapse; drop; break down
党,トウ,なかま むら,party; faction; clique
凍,トウ,こおる こごえる こごる いてる しみる,frozen; congeal; refrigerate
塔,トウ,,pagoda; tower; steeple
島,トウ,しま,island
投,トウ,なげる,throw; discard; abandon; launch into; join; invest in; hurl; give up; sell at a loss
盗,トウ,ぬすむ ぬすみ,steal; rob; pilfer
湯,トウ,ゆ,hot water; bath; hot spring
灯,トウ,ひ ほ- ともしび ともす あかり,lamp; a light; light; counter for lights
当,トウ,あたる あたり あてる あて まさに まさにべし,hit; right; appropriate; himself
等,トウ,ひとしい など,etc.; and so forth; class (1st); quality; equal; similar
筒,トウ,つつ,cylinder; pipe; tube; gun barrel; sleeve
到,トウ,いたる,arrival; proceed; reach; attain; result in
逃,トウ,にげる にがす のがす のがれる,escape; flee; shirk; evade; set free
頭,トウ ズ ト,あたま かしら かぶり,head; counter for large animals
働,ドウ リュク リキ ロク リョク,はたらく,work; (kokuji)
導,ドウ,みちびく,guidance; leading; conduct; usher
童,ドウ,わらべ,juvenile; child
銅,ドウ,あかがね,copper
得,トク,える うる,gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit
毒,ドク,,poison; virus; venom; germ; harm; injury; spite
突,トツ カ,つく,stab; protruding; thrusting; thrust; pierce; prick
届,カイ,とどける とどく,deliver; reach; arrive; report; notify; forward
曇,ドン,くもる,cloudy weather; cloud up
鈍,ドン,にぶい にぶる にぶ- なまる なまくら,dull; slow; foolish; blunt
内,ナイ ダイ,うち,inside; within; between; among; house; home
軟,ナン,やわらか やわらかい,soft
難,ナン,かたい むずかしい むづかしい むつかしい,difficult; impossible; trouble; accident; defect
乳,ニュウ,ちち ち,milk; breasts
任,ニン,まかせる まかす,responsibility; duty; term; entrust to; appoint
認,ニン,みとめる したためる,acknowledge; witness; discern; recognize; appreciate; believe
猫,ビョウ,ねこ,cat
熱,ネツ,あつい,heat; temperature; fever; mania; passion
念,ネン,,wish; sense; idea; thought; feeling; desire; attention
燃,ネン,もえる もやす もす,burn; blaze; glow
悩,ノウ,なやむ なやます なやましい なやみ,trouble; worry; in pain; distress; illness
濃,ノウ,こい,concentrated; thick; dark; undiluted
能,ノウ,よく,ability; talent; skill; capacity
脳,ノウ ドウ,のうずる,brain; memory
農,ノウ,,agriculture; farmers
波,ハ,なみ,waves; billows; Poland
破,ハ,やぶる やぶれる,rend; rip; tear; break; destroy; defeat; frustrate
馬,バ,うま うま- ま,horse
拝,ハイ,おがむ おろがむ,worship; adore; pray to
敗,ハイ,やぶれる,failure; defeat; reversal
杯,ハイ,さかずき,cupfuls; wine glass; glass; toast
背,ハイ,せ せい そむく そむける,stature; height; back; behind; disobey; defy; go back on; rebel
配,ハイ,くばる,distribute; spouse; exile; rationing
倍,バイ,,double; twice; times; fold
泊,ハク,とまる とめる,overnight; put up at; ride at anchor; 3-day stay
薄,ハク,うすい うす- うすめる うすまる うすらぐ うすら- うすれる すすき,dilute; thin; weak (tea)
爆,バク,はぜる,bomb; burst open; pop; split
麦,バク,むぎ,barley; wheat
箱,ソウ,はこ,box; chest; case; bin; railway car
肌,キ,はだ,texture; skin; body; grain
畑,,はた はたけ,farm; field; garden; ones specialty; (kokuji)
髪,ハツ,かみ,hair of the head
抜,バツ ハツ ハイ,ぬく ぬき ぬける ぬかす ぬかる,slip out; extract; pull out; pilfer; quote; remove; omit
判,ハン バン,わかる,judgement; signature; stamp; seal
反,ハン ホン タン ホ,そる そらす かえす かえる,anti-
板,ハン バン,いた,plank; board; plate; stage
版,ハン,,printing block; printing plate; edition; impression; label
犯,ハン ボン,おかす,crime; sin; offense
般,ハン,,carrier; carry; all
販,ハン,,marketing; sell; trade
晩,バン,,nightfall; night
番,バン,つがい,turn; number in a series
否,ヒ,いな いや,negate; no; noes; refuse; decline; deny
彼,ヒ,かれ かの かの,he; that; the
悲,ヒ,かなしい かなしむ,jail cell; grieve; sad; deplore; regret
比,ヒ,くらべる,compare; race; ratio; Phillipines
疲,ヒ,つかれる つからす,exhausted; tire; weary
皮,ヒ,かわ けがわ,pelt; skin; hide; leather
被,ヒ,こうむる おおう かぶる かぶせる,incur; cover; veil; brood over; shelter; wear; put on; be exposed (film); receiving
費,ヒ,ついやす ついえる,expense; cost; spend; consume; waste
非,ヒ,あらず,un-; mistake; negative; injustice; non-
飛,ヒ,とぶ とばす,fly; skip (pages); scatter
備,ビ,そなえる そなわる つぶさに,equip; provision; preparation
美,ビ ミ,うつくしい,beauty; beautiful
鼻,ビ,はな,nose; snout
匹,ヒツ,ひき,equal; head; counter for small animals; roll of cloth
必,ヒツ,かならず,invariably; certain; inevitable
筆,ヒツ,ふで,writing brush; writing; painting brush; handwriting
氷,ヒョウ,こおり ひ こおる,icicle; ice; hail; freeze; congeal
表,ヒョウ,おもて あらわす あらわれる あらわす,surface; table; chart; diagram
秒,ビョウ,,second (1/60 minute)
貧,ヒン ビン,まずしい,poverty; poor
瓶,ビン,かめ,flower pot; bottle; vial; jar; jug; vat; urn
付,フ,つける つけ つけ- つく つき,adhere; attach; refer to; append
夫,フ フウ ブ,おっと それ,husband; man
婦,フ,,lady; woman; wife; bride
富,フ フウ,とむ とみ,wealth; enrich; abundant
布,フ,ぬの,linen; cloth
府,フ,,borough; urban prefecture; govt office; representative body; storehouse
怖,フ ホ,こわい こわがる おじる おそれる,dreadful; be frightened; fearful
普,フ,あまねく あまねし,universal; wide(ly); generally; Prussia
浮,フ,うく うかれる うかぶ む うかべる,floating; float; rise to surface
符,フ,,token; sign; mark; tally; charm
膚,フ,はだ,skin; body; grain; texture; disposition
負,フ,まける まかす おう,defeat; negative; -; minus; bear; owe; assume a responsibility
武,ブ ム,たけし,warrior; military; chivalry; arms
舞,ブ,まう まい,dance; flit; circle; wheel
部,ブ,,section; bureau; dept; class; copy; part; portion; counter for copies of a newspaper or magazine
封,フウ ホウ,,seal; closing
副,フク,,vice-; duplicate; copy
復,フク,また,restore; return to; revert; resume
幅,フク,はば,hanging scroll; width
福,フク,,blessing; fortune; luck; wealth
腹,フク,はら,abdomen; belly; stomach
複,フク,,duplicate; double; compound; multiple
払,フツ ヒツ ホツ,はらう,pay; clear out; prune; banish; dispose of
沸,フツ,わく わかす,seethe; boil; ferment; uproar; breed
仏,ブツ フツ,ほとけ,Buddha; the dead; France
粉,フン デシメートル,こ こな,flour; powder; dust
兵,ヘイ ヒョウ,つわもの,soldier; private; troops; army; warfare; strategy; tactics
平,ヘイ ビョウ ヒョウ,たいら ひら ひら-,even; flat; peace
並,ヘイ ホウ,なみ ならべる ならぶ ならびに,row; and; besides; as well as; line up; rank with; rival; equal
閉,ヘイ,とじる とざす しめる しまる たてる,closed; shut
米,ベイ マイ メエトル,こめ よね,rice; USA; metre
変,ヘン,かわる かわり かえる,unusual; change; strange
片,ヘン,かた- かた,one-sided; leaf; sheet
編,ヘン,あむ,compilation; knit; plait; braid; twist; editing; completed poem; part of a book
辺,ヘン,あたり ほとり,environs; boundary; border; vicinity
返,ヘン,かえす かえる,return; answer; fade; repay
便,ベン ビン,たより,convenience
捕,ホ,とらえる とらわれる とる とらえる とらわれる つかまえる つかまる,catch; capture
補,ホ,おぎなう,supplement; supply; make good; offset; compensate; assistant; learner
募,ボ,つのる,recruit; campaign; gather (contributions); enlist; grow violent
暮,ボ,くれる くらす,livelihood; make a living; spend time
包,ホウ,つつむ くるむ,wrap; pack up; cover; conceal
報,ホウ,むくいる,report; news; reward; retribution
宝,ホウ,たから,treasure; wealth; valuables
抱,ホウ,だく いだく かかえる,embrace; hug; hold in arms
放,ホウ,はなす はなつ はなれる ほうる,set free; release; fire; shoot; emit; banish; liberate
法,ホウ ハッ ホッ フラン,のり,method; law; rule; principle; model; system
訪,ホウ,おとずれる たずねる とう,call on; visit; look up; offer sympathy
豊,ホウ ブ,ゆたか とよ,bountiful; excellent; rich
亡,ボウ モウ,ない なき- ほろびる ほろぶ ほろぼす,deceased; the late; dying; perish
坊,ボウ ボッ,,boy; priests residence; priest
帽,ボウ モウ,ずきん おおう,cap; headgear
忘,ボウ,わすれる,forget
忙,ボウ モウ,いそがしい せわしい おそれる うれえるさま,busy; occupied; restless
暴,ボウ バク,あばく あばれる,outburst; rave; fret; force; violence; cruelty; outrage
望,ボウ モウ,のぞむ もち,ambition; full moon; hope; desire; aspire to; expect
棒,ボウ,,rod; stick; cane; pole; club; line
貿,ボウ,,trade; exchange
防,ボウ,ふせぐ,ward off; defend; protect; resist
磨,マ,みがく する,grind; polish; scour; improve; brush (teeth)
埋,マイ,うめる うまる うもれる うずめる うずまる いける,bury; be filled up; embedded
枚,マイ バイ,,sheet of...; counter for flat thin objects or sheets
末,マツ バツ,すえ,end; close; tip; powder; posterity
満,マン バン,みちる みつ みたす,full; enough; pride; satisfy
未,ミ ビ,いまだ まだ ひつじ,un-; not yet; hitherto; still; even now; eighth sign of Chinese zodiac; sign of the ram
民,ミン,たみ,people; nation; subjects
眠,ミン,ねむる ねむい,sleep; die; sleepy
務,ム,つとめる,task; duties
夢,ム ボウ,ゆめ ゆめみる くらい,dream; vision; illusion
無,ム ブ,ない,nothingness; none; aint; nothing; nil; not
娘,ジョウ,むすめ こ,daughter; girl
命,メイ ミョウ,いのち,fate; command; decree; destiny; life; appoint
迷,メイ,まよう,astray; be perplexed; in doubt; lost; err; illusion
鳴,メイ,なく なる ならす,chirp; cry; bark; sound; ring; echo; honk
綿,メン,わた,cotton
面,メン ベン,おも おもて つら,mask; face; features; surface
毛,モウ,け,fur; hair; feather; down
戻,レイ,もどす もどる,re-; return; revert; resume; restore; go backwards
門,モン,かど と,gates
役,ヤク エキ,,duty; war; campaign; drafted labor; office; service; role
約,ヤク,,promise; approximately; shrink
薬,ヤク,くすり,medicine; chemical; enamel; gunpowder; benefit
油,ユ ユウ,あぶら,oil; fat
輸,ユ シュ,,transport; send; be inferior
優,ユウ ウ,やさしい すぐれる まさる,tenderness; excel; surpass; actor; superiority; gentleness
勇,ユウ,いさむ,courage; cheer up; be in high spirits; bravery; heroism
由,ユ ユウ ユイ,よし よる,wherefore; a reason
遊,ユウ ユ,あそぶ あそばす,play
郵,ユウ,,mail; stagecoach stop
予,ヨ シャ,あらかじめ,beforehand; previous; myself; I
余,ヨ,あまる あまり あます,too much; myself; surplus; other; remainder
与,ヨ,あたえる あずかる くみする ともに,bestow; participate in; give; award; impart; provide; cause; gift; godsend
預,ヨ,あずける あずかる,deposit; custody; leave with; entrust to
幼,ヨウ,おさない,infancy; childhood
容,ヨウ,いれる,contain; form; looks
様,ヨウ ショウ,さま,Esq.; way; manner; situation; polite suffix
溶,ヨウ,とける とかす とく,melt; dissolve; thaw
葉,ヨウ,は,leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece
要,ヨウ,いる,need; main point; essence; pivot; key to
踊,ヨウ,おどる,jump; dance; leap; skip
陽,ヨウ,ひ,sunshine; yang principle; positive; male; heaven; daytime
欲,ヨク,ほっする ほしい,longing; covetousness; greed; passion; desire; craving
浴,ヨク,あびる あびせる,bathe; be favored with; bask in
翌,ヨク,,the following; next
頼,ライ,たのむ たのもしい たよる,trust; request
絡,ラク,からむ からまる,entwine; coil around; get caught in
落,ラク,おちる おち おとす,fall; drop; come down
乱,ラン ロン,みだれる みだる みだす みだ おさめる わたる,riot; war; disorder; disturb
卵,ラン,たまご,egg; ovum; spawn; roe
利,リ,きく,profit; advantage; benefit
裏,リ,うら,back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side
陸,リク ロク,おか,land; six
律,リツ リチ レツ,,rhythm; law; regulation; gauge; control
略,リャク,ほぼ おかす おさめる はかりごと はかる はぶく りゃくす りゃくする,abbreviation; omission; outline; shorten; capture; plunder
流,リュウ ル,ながれる ながれ ながす,current; a sink; flow; forfeit
留,リュウ ル,とめる とまる とどめる とどまる るうぶる,detain; fasten; halt; stop
粒,リュウ,つぶ,grains; drop; counter for tiny particles
了,リョウ,,complete; finish
両,リョウ,てる ふたつ,both; old Japanese coin; counter for vehicles; two
涼,リョウ,すずしい すずむ すずやか うすい ひやす まことに,refreshing; nice and cool
療,リョウ,,heal; cure
良,リョウ,よい いい,good; pleasing; skilled
量,リョウ,はかる,quantity; measure; weight; amount; consider; estimate; surmise
領,リョウ,,jurisdiction; dominion; territory; fief; reign
緑,リョク ロク,みどり,green
林,リン,はやし,grove; forest
輪,リン,わ,wheel; ring; circle; link; loop; counter for wheels and flowers
涙,ルイ レイ,なみだ,tears; sympathy
類,ルイ,たぐい,sort; kind; variety; class; genus
令,レイ,,orders; ancient laws; command; decree
例,レイ,たとえる,example; custom; usage; precedent
冷,レイ,つめたい ひえる ひや ひややか ひやす ひやかす さめる さます,cool; cold (beer person); chill
礼,レイ ライ,,salute; bow; ceremony; thanks; remuneration
零,レイ,ぜろ こぼす こぼれる,zero; spill; overflow; nothing; cipher
齢,レイ,よわい とし,age
歴,レキ レッキ,,curriculum; continuation; passage of time
列,レツ レ,,file; row; rank; tier; column
恋,レン,こう こい こいしい,romance; in love; yearn for; miss; darling
練,レン,ねる ねり,practice; gloss; train; drill; polish; refine
連,レン,つらなる つらねる つれる,take along; lead; join; connect; party; gang; clique
路,ロ ル,みち,path; route; road; distance
労,ロウ,ろうする いたわる いたずき ねぎら つかれる ねぎらう,labor; thank for; reward for; toil; trouble
老,ロウ,おいる ふける,old man; old age; grow old
録,ロク,,record
論,ロン,,argument; discourse
和,ワ オ カ,やわらぐ やわらげる なごむ なごやか,harmony; Japanese style; peace; soften; Japan
湾,ワン,いりえ,gulf; bay; inlet
腕,ワン,うで,arm; ability; talent
